"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Wisconsin Lutheran College",21,21,20,20,21,21,21,21,21,21,21,21,22,21
"Worcester State University",21,,,,21,20,19,20,19,19,19,18,20,18
"Utah State University",21,21,21,21,20,20,20,20,20,20,21,20,21,21
"Tennessee Technological University",21,21,21,21,21,21,21,20,21,20,20,20,20,20
"University of Minnesota-Duluth",21,21,21,22,22,22,22,22,22,22,21,21,21,21
"North Central College",21,21,21,22,22,22,22,22,22,22,22,22,22,22
"Southern Illinois University-Edwardsville",21,20,21,20,20,20,20,20,20,19,20,20,20,19
"Virginia Commonwealth University",21,21,21,21,21,21,21,21,21,20,20,19,19,19
"University of North Carolina at Asheville",21,22,21,22,23,23,24,24,24,22,21,22,22,22
"Southern Utah University",21,20,21,20,20,20,20,20,20,19,18,18,18,18
"Southern Virginia University",21,19,20,14,16,19,20,17,20,20,20,20,20,20
"New Saint Andrews College",21,,23,,23,,,22,25,24,23,25,22,24
"Warren Wilson College",21,21,21,25,,21,23,23,23,22,23,,,22
"Springfield College",21,20,22,25,24,20,18,20,,,,,,
"St Bonaventure University",21,19,22,21,20,21,21,21,21,20,20,20,19,20
"Simpson University",21,17,19,18,18,18,19,21,19,20,18,19,20,18
"University of Wyoming",21,22,22,22,21,22,22,22,22,21,21,21,21,20
"Nebraska Methodist College of Nursing & Allied Health",21,20,21,21,21,22,21,21,21,20,19,19,19,20
"Murray State University",21,21,21,21,21,20,20,19,19,19,19,20,19,19
"Ohio University-Main Campus",21,21,21,22,21,22,22,22,21,21,21,21,21,21
"University of Missouri-St Louis",21,21,21,22,21,21,21,21,22,21,20,21,21,21
"Ramapo College of New Jersey",21,20,21,21,21,20,19,20,,,,,,
"Southeast Missouri Hospital College of Nursing and Health Sciences",21,21,20,21,1,21,,1,,,,,,
"University of Minnesota-Morris",21,21,22,22,22,22,22,23,23,23,22,22,22,21
"Mississippi College",21,22,21,22,21,21,21,21,20,21,20,20,21,20
"SUNY Maritime College",21,22,22,22,23,22,22,20,22,20,20,19,18,
"Ouachita Baptist University",21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Missouri State University-Springfield",21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Saint Mary's College of California",21,22,22,22,22,22,22,22,22,22,20,,,
"Oregon State University",21,21,22,22,22,21,21,21,21,21,20,20,20,20
"University of Pittsburgh-Johnstown",21,19,21,20,20,20,19,20,20,19,19,18,17,18
"Molloy College",21,22,22,21,21,21,22,20,23,22,,,19,
"Monmouth University",21,21,19,19,21,20,22,22,22,22,22,22,21,20
"Montana State University",21,21,21,21,21,21,21,21,21,21,21,21,21,20
"Montana Technological University",21,21,22,22,22,23,22,21,22,21,21,,19,
"Suffolk University",21,21,21,21,20,20,21,20,19,21,19,20,20,
"Oklahoma State University-Main Campus",21,22,22,22,21,22,22,22,22,22,22,22,22,22
"West Virginia University",21,21,21,21,21,21,21,21,21,21,21,21,20,20
"Abilene Christian University",21,21,21,21,21,22,21,21,22,22,21,21,20,20
"Bethel University",21,21,22,21,21,22,22,22,22,22,21,22,22,21
"Benedictine College",21,21,21,22,21,21,22,22,21,21,21,21,20,20
"Drury University",21,22,22,23,22,23,23,22,21,19,20,20,23,23
"Andrews University",21,21,21,21,21,20,20,20,20,20,20,19,20,20
"Christian Brothers University",21,22,21,21,22,21,21,21,21,21,22,21,22,21
"Baldwin Wallace University",21,21,21,,,,,21,21,21,21,21,21,21
"Citadel Military College of South Carolina",21,20,20,20,20,21,20,21,21,20,19,20,20,20
"AdventHealth University",21,18,18,19,18,18,18,17,16,17,,,,
"Boise State University",21,20,21,21,20,20,20,20,20,20,19,19,19,17
"Iowa State University",21,22,22,22,22,22,21,22,22,22,22,22,22,22
"Iona College",21,20,20,20,20,20,20,20,20,19,,,,
"Indiana Wesleyan University-Marion",21,20,21,21,21,21,21,21,21,21,21,21,21,21
"College of the Ozarks",21,21,21,21,21,21,21,20,21,21,20,20,21,21
"College of Charleston",21,22,22,22,22,23,23,23,22,22,23,21,23,22
"Harding University",21,21,22,22,22,22,22,22,22,22,21,22,21,20
"Bellarmine University",21,22,22,22,22,22,22,22,22,22,22,22,22,22
"Alfred University",21,19,20,21,20,21,21,22,21,21,22,21,22,21
"College of Our Lady of the Elms",21,18,18,17,19,19,15,16,18,17,16,17,19,16
"Bellin College",21,21,22,21,22,22,22,22,23,22,21,22,23,22
"Hollins University",21,22,24,23,23,21,20,21,21,21,22,22,20,21
"College of Saint Benedict",21,22,22,22,22,22,23,23,23,23,23,23,23,23
"Illinois State University",21,20,20,21,21,21,22,22,22,22,22,22,22,22
"Adelphi University",21,21,22,22,22,19,19,19,22,21,20,20,20,20
"Berea College",21,23,22,22,22,22,22,22,22,22,21,21,21,21
"Ave Maria University",21,20,21,21,21,21,20,20,20,21,21,22,22,23
"Brigham Young University-Hawaii",21,22,21,22,22,22,22,21,21,22,22,21,20,20
"Dominican University of California",21,20,20,20,21,21,20,20,21,22,20,20,18,18
"Arizona State University Campus Immersion",21,22,22,22,22,23,22,22,21,21,20,20,20,20
"CUNY John Jay College of Criminal Justice",21,,,,,,,,,,,,,
"Kentucky Mountain Bible College",21,18,15,17,19,18,19,16,17,17,18,15,,17
"Asbury University",21,21,,21,21,21,22,21,22,21,21,21,21,21
"Carroll University",21,21,21,21,21,21,21,21,21,20,21,20,21,20
"Freed-Hardeman University",21,21,21,22,21,21,22,21,21,19,20,19,20,20
"Florida Atlantic University",21,22,21,21,20,20,21,20,21,21,21,20,19,19
"Canisius College",21,20,21,22,22,21,21,22,21,22,22,22,21,21
"Florida Gulf Coast University",21,21,21,21,22,22,21,20,20,20,20,20,20,19
"North Dakota State University-Main Campus",20,21,21,21,21,21,21,21,20,21,20,20,20,20
"Rowan University",20,21,20,22,22,,22,,,,,,,
"Gannon University",20,19,20,20,20,20,20,20,19,20,19,19,19,18
"Hampden-Sydney College",20,20,21,21,21,21,21,22,21,21,21,20,20,20
"Elmhurst University",20,20,20,20,20,21,21,21,21,21,21,21,21,22
"Simpson College",20,19,20,21,21,21,22,21,21,21,21,22,22,22
"Elizabethtown College",20,21,21,22,21,23,22,21,21,21,20,21,,
"University of North Dakota",20,20,21,21,21,21,21,21,21,21,20,21,20,21
"University of North Florida",20,20,21,21,21,22,22,23,23,23,21,22,20,20
"Niagara University",20,20,22,21,21,20,20,21,20,21,19,19,19,19
"Boise Bible College",20,17,19,20,17,18,18,17,18,17,17,18,17,16
"Queens University of Charlotte",20,21,21,21,21,21,20,21,20,20,20,20,19,20
"Georgia State University",20,20,21,19,20,20,20,20,21,21,20,21,20,20
"Northern Kentucky University",20,20,20,20,20,20,20,19,19,19,19,19,19,18
"Franciscan Missionaries of Our Lady University",20,20,20,20,20,20,20,20,20,19,19,20,,
"William Carey University",20,20,21,21,21,20,20,20,20,21,21,20,19,19
"Mount Saint Joseph University",20,20,20,20,19,,19,19,20,20,19,19,19,19
"Mount Saint Mary College",20,19,20,19,20,20,20,20,19,19,19,18,19,18
"University of Pittsburgh-Greensburg",20,20,21,19,20,20,18,20,20,18,19,20,17,15
"Trinity Christian College",20,20,19,19,20,21,20,20,18,20,17,19,19,19
"West Chester University of Pennsylvania",20,20,21,21,21,21,22,,,,,,,
"Carthage College",20,21,21,21,21,22,21,21,22,22,21,21,20,21
"University of Connecticut-Hartford Campus",20,21,20,19,,,,,,,,,,
"University of Connecticut-Avery Point",20,20,21,18,19,21,21,22,19,21,19,16,17,21
"Rockhurst University",20,21,22,22,23,23,23,23,23,22,22,22,22,22
"South Dakota State University",20,19,20,20,20,20,20,20,20,19,20,20,20,20
"University of North Texas",20,21,21,21,21,21,21,21,21,21,20,21,21,21
"University of Idaho",20,20,20,20,21,20,20,20,20,20,20,20,20,20
"William Jewell College",20,22,22,23,22,23,22,22,22,23,23,23,22,22
"Hartwick College",20,20,21,21,19,,,23,24,23,23,22,21,
"University of Northern Iowa",20,20,21,21,20,20,20,20,21,21,21,21,21,21
"Northland College",20,,,,,21,21,21,21,20,20,21,21,21
"Seattle Pacific University",20,19,20,21,21,23,22,23,22,22,22,22,22,22
"California State University-Long Beach",20,20,20,20,20,20,20,18,18,18,18,17,18,18
"Oregon Institute of Technology",20,20,20,21,21,19,21,20,,,,,,
"Brigham Young University-Idaho",20,19,20,20,20,20,20,20,20,20,20,20,21,20
"Wichita State University",20,20,20,20,21,21,,21,20,21,21,21,21,20
"Widener University",20,20,20,20,21,21,19,,,,,,,
"Otterbein University",20,20,21,21,21,22,21,21,21,21,20,20,20,20
"Goshen College",20,21,20,19,22,21,21,21,21,22,21,22,22,22
"Saint Joseph's College of Maine",20,19,18,,20,21,,,,17,,,,
"University of Louisiana at Lafayette",20,21,21,21,21,21,21,21,21,20,20,20,20,19
"University of Massachusetts-Dartmouth",20,18,19,19,20,19,19,21,20,20,,20,20,20
"Gordon College",20,21,22,22,22,23,23,22,23,22,24,23,22,23
"California Lutheran University",20,21,21,21,22,22,22,22,22,22,22,22,21,20
"Palm Beach Atlantic University",20,20,20,20,21,20,21,20,20,21,20,19,21,21
"Good Samaritan College of Nursing and Health Science",20,2,19,18,19,18,18,19,20,21,19,18,18,18
"University of Mary",20,21,20,21,20,20,20,20,20,20,20,20,19,19
"Florida Agricultural and Mechanical University",20,19,19,18,19,18,18,18,18,18,17,,,17
"Wilkes University",20,20,21,21,20,,,,,,,,,
"Fisk University",20,18,17,16,17,17,17,17,17,18,18,17,20,19
"University of Louisiana at Monroe",20,19,20,20,20,20,19,20,20,19,20,19,19,19
"University of Minnesota-Rochester",20,22,22,22,22,22,22,23,22,22,22,,,
"Central Michigan University",20,20,20,20,20,20,20,20,20,20,20,20,20,19
"Northwestern College",20,21,21,21,21,22,21,21,22,22,21,22,22,21
"University of Nevada-Reno",20,21,21,21,21,21,21,21,21,20,20,20,20,20
"Saint Ambrose University",20,20,20,21,20,20,20,20,20,20,20,20,19,19
"Hamline University",20,19,20,20,21,21,21,21,21,21,21,20,21,21
"Presbyterian College",20,19,19,21,21,20,21,22,22,21,21,21,22,21
"Nova Southeastern University",20,20,22,23,22,22,22,21,20,20,19,19,19,19
"Faith Baptist Bible College and Theological Seminary",20,,18,20,20,20,19,19,19,19,20,19,18,20
"Grace College and Theological Seminary",20,,20,20,21,21,21,20,21,20,21,21,21,22
"Bowling Green State University-Main Campus",20,19,19,19,19,19,19,19,19,19,19,19,19,19
"Western Colorado University",20,20,19,20,19,17,19,19,19,19,19,19,19,18
"Western Carolina University",20,20,20,19,20,20,20,20,19,19,19,18,18,18
"University of Central Arkansas",20,21,21,21,20,20,19,20,20,20,20,20,20,19
"University of Missouri-Kansas City",20,21,21,21,21,21,21,21,20,20,21,21,21,20
"Saint Vincent College",20,20,18,20,20,20,19,20,20,20,20,19,20,20
"Oklahoma Baptist University",20,20,20,20,20,20,22,21,21,21,21,20,21,19
"Oklahoma Christian University",20,21,20,20,21,21,22,22,21,20,20,19,19,20
"Oakland University",20,20,21,21,20,20,20,20,20,19,19,19,19,19
"Houston Baptist University",20,19,20,20,21,20,20,21,21,22,20,20,19,23
"Rider University",20,19,20,19,19,19,19,19,20,19,19,19,20,8
"Eastern University",20,20,17,20,19,18,20,18,18,19,19,19,15,19
"Webster University",20,21,21,21,21,21,21,21,21,21,20,21,21,21
"The Evergreen State College",20,19,,19,20,20,19,20,21,21,20,22,21,21
"Wayne State University",20,21,21,21,20,20,20,19,18,18,17,17,17,17
"MCPHS University",20,20,22,22,21,21,20,21,22,22,20,21,20,19
"McNeese State University",20,20,20,20,20,20,20,20,20,20,19,18,19,18
"Massachusetts Maritime Academy",20,19,20,21,20,20,20,20,20,22,21,18,17,17
"The University of Montana",20,20,20,21,20,20,20,21,21,21,20,20,20,20
"University of Washington-Bothell Campus",20,19,19,19,20,19,18,19,19,19,20,20,20,
"Maryville College",20,21,21,20,21,20,20,21,20,22,21,21,21,22
"Marymount University",20,16,16,19,18,19,18,20,19,19,18,19,18,19
"Texas State University",20,19,20,20,20,21,20,21,21,21,21,21,21,21
"SUNY College at Oswego",20,21,21,22,22,22,22,22,22,21,21,21,21,21
"Marymount Manhattan College",20,20,21,21,22,20,21,21,21,21,21,21,19,20
"Linfield University-McMinnville Campus",20,20,20,20,20,20,21,21,21,22,21,21,21,23
"St. Mary's University",20,21,21,20,19,20,20,21,20,20,20,20,19,20
"Marietta College",20,19,20,20,21,21,21,21,21,21,21,20,20,20
"SUNY Brockport",20,19,20,20,20,20,21,21,21,21,21,21,21,20
"Concordia University-Wisconsin",20,21,20,20,21,20,21,20,20,20,19,20,19,19
"Stockton University",20,20,18,19,19,19,18,20,19,19,19,18,21,21
"Concordia University-Nebraska",20,20,20,21,20,20,20,21,21,21,21,21,21,20
"University of Wisconsin-Stout",20,19,20,19,19,20,20,20,20,20,19,19,19,19
"Lycoming College",20,19,19,21,20,20,19,21,20,20,20,20,21,20
"Concordia University-Irvine",20,18,20,20,20,20,19,20,19,19,19,19,20,19
"Concordia College at Moorhead",20,21,21,22,,,23,22,22,22,22,22,22,21
"Stephens College",20,20,20,19,20,20,20,19,19,21,19,20,21,21
"University of Wisconsin-Platteville",20,20,20,21,21,21,21,20,20,20,20,20,19,20
"Kent State University at Kent",20,20,20,21,21,21,20,20,20,20,19,19,18,18
"SUNY at Fredonia",20,19,21,21,22,21,22,21,21,22,21,21,21,22
"Dallas Baptist University",20,21,20,19,19,19,18,18,19,20,18,19,19,19
"The University of Findlay",20,21,21,21,20,20,20,21,21,21,20,20,20,20
"Maranatha Baptist University",20,19,20,20,,,,20,20,19,20,19,19,
"Louisiana State University-Shreveport",20,20,20,19,20,20,20,20,20,20,20,,20,19
"Arkansas State University",20,21,21,21,21,21,21,21,20,20,18,18,18,18
"University of Toledo",20,20,20,20,20,20,19,19,,,,,,
"Keystone College",20,14,,,16,16,17,17,17,15,17,15,16,16
"East Tennessee State University",20,20,20,19,20,20,19,19,19,19,19,20,20,20
"Western Michigan University",20,19,20,20,19,19,19,19,19,20,20,20,20,20
"Viterbo University",20,21,21,21,20,21,21,21,21,21,20,20,20,19
"University of South Dakota",20,19,20,20,20,20,20,21,21,20,20,20,19,20
"Towson University",20,20,20,21,21,21,21,21,21,21,21,20,,
"Lasell University",20,20,16,19,19,18,18,18,19,18,18,19,19,20
"Arcadia University",20,21,21,22,23,22,22,22,22,22,21,20,20,21
"Mills College",20,19,21,,23,24,23,23,23,24,22,20,21,20
"SUNY Polytechnic Institute",20,20,20,20,24,23,22,22,20,21,22,20,20,22
"Aquinas College",20,20,21,21,21,21,21,21,21,21,20,20,20,20
"Sweet Briar College",20,21,20,20,18,22,21,21,22,22,20,20,21,21
"Xavier University of Louisiana",20,20,20,20,20,20,20,20,19,19,18,18,18,18
"Monmouth College",20,19,20,20,19,20,19,20,18,19,20,20,20,20
"Trevecca Nazarene University",20,20,19,19,19,19,20,19,19,19,19,19,19,19
"Trine University",20,22,21,22,20,21,21,21,20,20,21,21,21,20
"Southern Illinois University-Carbondale",20,21,20,20,19,19,19,19,18,18,19,19,19,19
"University of South Alabama",20,20,21,20,20,20,20,20,20,19,18,19,19,19
"Millikin University",20,19,20,19,19,20,19,21,20,20,20,20,20,20
"Thomas Jefferson University",20,21,22,,,,,,,,,,,
"Washington State University",20,20,20,20,20,20,19,19,20,20,21,21,21,
"University of Southern Maine",20,20,19,19,19,19,20,20,19,19,18,18,19,18
"Lebanon Valley College",20,21,22,22,21,,,22,20,,,,,21
"Virginia Wesleyan University",20,20,21,19,17,17,18,18,19,19,18,18,17,17
"Middle Tennessee State University",20,20,20,20,19,19,19,19,19,19,20,19,19,19
"Spring Hill College",20,20,20,21,22,22,22,21,21,21,21,21,21,21
"Spring Arbor University",20,20,20,20,19,20,19,20,20,20,20,20,19,20
"Spelman College",20,22,22,22,22,20,19,20,20,20,20,21,20,21
"The University of Texas at Tyler",20,21,21,21,20,20,20,21,21,20,20,20,20,20
"Becker College",20,16,20,20,21,19,21,19,18,16,15,13,13,
"Texas Lutheran University",19,20,19,19,18,19,19,20,18,19,18,18,19,19
"D'Youville College",19,19,14,20,16,21,21,20,21,21,20,20,20,18
"Cottey College",19,19,19,19,21,20,19,19,20,19,20,19,20,20
"SUNY Oneonta",19,21,21,21,22,22,22,22,22,22,22,22,21,21
"Framingham State University",19,19,18,19,20,19,20,19,21,20,20,,,
"Texas Wesleyan University",19,19,20,20,19,19,19,19,19,19,18,16,16,16
"Flagler College",19,,20,21,22,21,21,21,22,22,21,21,21,22
"University of Central Missouri",19,19,19,19,20,19,19,18,18,19,18,20,20,20
"Saginaw Valley State University",19,19,19,20,20,19,19,18,18,18,18,18,18,18
"Carson-Newman University",19,19,20,20,20,19,21,20,20,20,20,20,20,19
"Dakota State University",19,19,20,19,19,20,19,19,19,18,19,18,19,19
"Cornerstone University",19,19,19,19,18,19,20,21,20,21,20,20,20,20
"University of Charleston",19,19,18,18,18,19,19,19,20,20,19,19,20,19
"The Christ College of Nursing and Health Sciences",19,20,19,20,20,19,18,18,18,18,18,17,20,19
"University of Baltimore",19,17,21,16,20,18,,,,16,1,16,,
"Central College",19,19,20,21,21,20,21,21,21,21,21,19,19,21
"Shenandoah University",19,18,21,20,19,19,18,19,19,19,18,17,17,17
"Albion College",19,21,20,20,20,21,22,22,22,22,22,23,22,23
"Coastal Carolina University",19,19,19,19,20,20,19,19,18,18,20,20,20,20
"Concordia College",19,17,20,18,17,,17,16,18,15,21,16,16,17
"The University of Texas at San Antonio",19,19,20,20,20,20,19,20,20,19,19,18,18,18
"Slippery Rock University of Pennsylvania",19,19,19,19,19,19,19,19,18,19,19,19,18,18
"Wartburg College",19,21,20,21,21,21,21,21,21,21,21,21,21,21
"Southwest Baptist University",19,19,18,20,19,20,20,20,19,20,20,20,20,20
"Eastern Kentucky University",19,20,20,20,20,19,19,19,19,18,18,18,18,19
"Southeastern Louisiana University",19,19,19,19,19,20,20,20,19,20,19,19,19,19
"Eastern Michigan University",19,19,15,19,19,19,19,19,18,18,18,18,18,18
"Westminster College",19,20,20,21,21,21,22,21,21,22,21,23,23,22
"Southeastern University",19,19,18,18,18,17,18,17,,,,,,
"Southern Adventist University",19,,,,,,,20,20,19,19,19,19,19
"Trinity International University-Illinois",19,18,20,20,20,19,20,20,20,19,19,19,20,20
"Westfield State University",19,18,20,20,19,19,18,17,20,19,19,18,18,19
"Cleveland Institute of Art",19,20,19,20,20,20,19,19,19,18,20,20,19,20
"University of Akron Main Campus",19,19,19,19,19,19,19,18,18,,,,,
"Concordia University-Chicago",19,20,20,20,19,20,20,20,19,19,19,19,19,19
"Central Connecticut State University",19,17,19,19,19,20,20,19,20,20,,,,
"University of California-Merced",19,19,19,20,19,20,20,18,18,18,18,18,18,18
"The Southern Baptist Theological Seminary",19,19,19,19,18,20,,,,,,,,
"Concordia University Texas",19,18,18,19,18,19,19,20,19,20,19,18,18,20
"St. Thomas Aquinas College",19,17,18,17,17,18,18,17,18,18,17,16,17,17
"Clarke University",19,18,19,20,20,20,20,20,20,21,20,21,20,19
"Southern Arkansas University Main Campus",19,18,19,19,18,18,18,18,18,18,18,17,17,17
"Charleston Southern University",19,20,20,20,20,20,19,18,18,19,21,18,18,16
"Farmingdale State College",19,19,20,19,19,19,19,19,19,,,,,
"San Jose State University",19,18,19,19,20,20,19,19,18,19,18,18,18,17
"Western Kentucky University",19,19,20,19,19,19,19,18,18,18,18,,18,
"East Carolina University",19,20,20,20,20,21,20,21,20,20,19,19,18,18
"Concordia University Ann Arbor",19,18,19,19,19,19,19,19,19,19,18,20,20,19
"Dominican University",19,19,19,20,20,19,20,20,20,20,20,19,20,20
"St Catherine University",19,23,19,20,19,19,19,20,22,22,21,19,20,19
"Bryn Athyn College of the New Church",19,17,21,19,18,18,15,20,19,17,20,19,18,
"Franklin College",19,18,18,19,19,19,20,19,19,20,19,19,18,18
"Meredith College",19,18,19,20,21,20,,20,19,18,19,19,19,18
"University of the Cumberlands",19,18,20,19,19,19,20,19,19,19,19,18,19,19
"LaGrange College",19,19,20,20,20,20,20,19,19,20,20,19,19,19
"University of Southern Mississippi",19,19,19,19,20,19,19,20,19,19,18,19,19,18
"University of Southern Indiana",19,19,19,19,19,19,19,19,19,18,18,18,17,17
"Belhaven University",19,,,,,,,19,20,19,19,21,20,19
"Indiana University-Purdue University-Indianapolis",19,19,19,19,19,19,19,19,19,19,19,19,18,18
"Minnesota State University Moorhead",19,19,20,20,20,20,20,20,20,20,19,19,19,19
"Minnesota State University-Mankato",19,19,19,20,20,20,19,20,20,20,20,20,20,20
"Mississippi University for Women",19,18,18,18,18,18,18,18,18,18,18,18,18,18
"Husson University",19,19,17,20,17,18,,,,,,,,
"Bemidji State University",19,19,19,20,20,19,19,19,20,19,19,19,9,
"Huntingdon College",19,17,19,19,19,19,20,19,19,19,19,19,18,19
"University of Saint Francis-Fort Wayne",19,18,18,19,19,18,19,19,19,18,19,19,19,18
"Benedictine University",19,19,20,19,,,19,19,19,19,20,20,20,20
"Mount St. Mary's University",19,19,18,19,19,18,20,17,19,19,21,,,
"Mount Vernon Nazarene University",19,20,20,19,20,20,20,20,20,20,19,23,20,19
"Carlow University",19,19,19,20,19,19,17,17,17,18,19,19,18,19
"Heidelberg University",19,18,19,19,19,19,19,,,,18,18,19,19
"University of Northern Colorado",19,19,19,19,19,19,19,20,20,19,20,20,20,20
"Hastings College",19,18,19,20,20,20,20,21,20,20,20,19,19,20
"University of North Georgia",19,19,20,20,19,19,19,18,,,,,,
"Nicholls State University",19,20,20,20,20,20,20,20,19,20,19,20,19,18
"Baptist Health Sciences University",19,20,19,19,19,23,23,22,22,22,21,22,21,21
"Mercy College of Health Sciences",19,,,18,19,,,,,,,,17,19
"Baker University",19,20,20,21,20,20,20,21,21,21,21,20,20,20
"Waynesburg University",19,18,19,18,19,20,20,20,20,20,,,,
"Lake Superior State University",19,19,19,19,20,19,19,20,20,20,19,19,18,18
"Walsh University",19,19,19,20,19,,20,20,20,20,19,19,19,19
"King University",19,20,19,18,,19,20,20,19,20,20,19,,21
"Kettering College",19,20,20,21,,,,20,20,21,20,19,20,19
"Ashland University",19,19,20,20,20,20,20,20,20,20,20,19,20,19
"Limestone University",19,18,18,17,19,16,20,20,17,15,15,17,18,17
"Lincoln Memorial University",19,19,19,19,19,19,19,19,20,20,18,18,18,19
"York College of Pennsylvania",19,19,21,20,20,20,20,20,20,20,20,21,19,
"Lindenwood University",19,20,20,20,20,20,20,20,20,20,20,20,20,21
"Valdosta State University",19,19,19,19,19,19,20,20,20,20,20,20,20,19
"Augusta University",19,19,20,20,19,20,19,18,,,,,,
"University of North Carolina at Greensboro",19,20,20,20,21,20,21,21,20,19,19,19,18,19
"Aultman College of Nursing and Health Sciences",19,20,19,20,20,21,20,22,21,20,20,21,21,
"Aurora University",19,18,19,19,19,19,19,19,20,20,20,20,19,20
"University of Wisconsin-Whitewater",19,19,19,20,20,20,20,20,20,20,20,20,20,20
"Lubbock Christian University",19,18,18,19,19,19,19,19,19,19,18,18,17,18
"University of Wisconsin-Stevens Point",19,19,19,20,20,20,20,21,21,21,21,21,20,20
"University of Wisconsin-River Falls",19,20,20,20,20,20,20,20,20,20,20,20,19,20
"Maine Maritime Academy",19,22,21,18,21,19,19,20,19,18,,18,17,18
"Malone University",19,19,19,19,19,19,20,19,20,20,19,20,20,20
"University of Wisconsin-Oshkosh",19,19,19,20,20,20,20,20,20,20,20,20,20,20
"University of Wisconsin-Milwaukee",19,19,19,20,20,20,19,20,19,19,20,19,20,20
"Austin Peay State University",19,19,19,19,19,19,19,19,19,19,19,20,19,19
"Marshall University",19,19,19,19,19,20,19,20,19,19,19,19,20,20
"Kennesaw State University",19,20,21,21,21,21,,,,,,,,
"Adrian College",19,19,19,19,19,19,19,19,19,19,20,21,20,20
"Henderson State University",19,19,19,19,19,18,18,19,18,18,19,18,20,19
"Oregon State University-Cascades Campus",19,20,21,21,22,20,,,,,,,,
"California State Polytechnic University-Pomona",19,19,19,20,20,20,20,20,20,21,19,18,18,18
"University of Mount Union",19,20,20,20,20,21,21,20,20,20,19,19,19,20
"George Fox University",19,19,21,21,21,21,20,20,21,21,21,20,19,21
"University of Montevallo",19,20,20,20,20,20,20,20,20,20,20,18,19,19
"Brescia University",19,20,19,19,20,19,20,19,19,19,18,18,18,19
"University of Illinois Springfield",19,19,20,20,20,20,20,20,20,20,20,20,20,19
"Bridgewater State University",19,20,19,18,19,19,19,19,20,21,20,19,19,19
"Winona State University",19,19,20,20,20,20,20,21,21,21,21,21,21,21
"Olivet Nazarene University",19,19,20,20,21,20,21,21,21,20,20,19,19,19
"Oral Roberts University",19,18,19,20,19,19,19,20,20,20,20,20,20,19
"Hannibal-LaGrange University",19,18,,,,,,19,17,20,21,20,19,20
"Georgia Southwestern State University",19,17,18,19,19,18,18,18,18,17,18,17,18,17
"University of Jamestown",19,19,19,19,20,18,25,21,20,20,20,20,19,20
"University of Michigan-Flint",19,20,19,20,19,18,18,18,19,20,18,18,19,19
"Piedmont University",19,18,19,19,19,19,19,19,20,20,18,18,18,18
"Tennessee Wesleyan University",19,19,19,18,19,19,18,19,18,19,19,19,19,18
"University of Memphis",19,19,19,19,18,19,19,19,20,19,19,19,19,19
"University of Nebraska at Kearney",19,20,19,19,19,20,20,20,20,20,20,20,19,20
"Purdue University Northwest",19,18,19,19,,,,,,,,,,
"Purdue University Fort Wayne",19,18,18,18,18,19,19,19,19,18,18,18,18,18
"University of Mary Hardin-Baylor",19,19,20,19,21,20,21,21,19,20,20,20,20,20
"Campbell University",19,20,19,20,19,19,17,17,19,17,19,22,,
"Northwest Nazarene University",19,20,20,20,21,20,20,21,21,,,,,
"Northwest University",19,20,21,19,20,19,19,19,20,19,17,18,19,18
"American College of the Building Arts",19,16,,,,,,,,,,,,
"Northern State University",19,19,19,19,17,19,19,19,19,19,18,19,18,17
"University of Houston-Clear Lake",19,18,20,20,20,19,19,,,,,,,
"Winthrop University",19,18,20,19,20,20,19,19,20,20,20,20,20,20
"Reinhardt University",19,19,18,18,18,18,18,18,18,,17,,17,17
"Quincy University",19,19,18,19,18,19,19,20,19,19,19,19,19,18
"North Park University",19,19,19,19,18,19,19,19,20,19,19,19,19,19
"University of Nevada-Las Vegas",19,19,19,19,19,18,19,19,18,19,19,19,19,18
"Northwood University",19,18,19,20,20,20,19,20,20,20,19,19,19,18
"Northwest Missouri State University",19,19,19,20,20,20,20,20,20,20,20,19,20,19
"Texas A & M University-Corpus Christi",18,19,18,17,17,17,18,17,18,17,,,17,16
"California State University-Chico",18,18,18,19,19,19,19,19,19,20,19,19,18,19
"University of Connecticut-Waterbury Campus",18,17,19,21,21,17,19,19,20,18,18,17,17,19
"Texas A&M University-San Antonio",18,18,17,17,16,,,,,,,,,
"California State University-Fullerton",18,19,19,19,19,19,19,19,19,18,18,18,17,17
"University of Wisconsin-Superior",18,18,19,18,19,19,19,19,20,20,20,20,20,20
"West Virginia University Institute of Technology",18,18,21,21,19,18,18,18,19,18,18,18,18,18
"West Virginia Wesleyan College",18,18,19,19,20,20,19,20,19,20,19,20,20,20
"Upper Iowa University",18,19,18,18,17,17,17,19,19,19,17,17,17,19
"Vanguard University of Southern California",18,18,17,18,17,18,17,18,19,18,,18,18,19
"University of Central Oklahoma",18,19,19,19,19,19,18,20,19,19,19,19,19,19
"Ursuline College",18,17,19,18,19,19,18,19,18,19,19,18,18,18
"Cedar Crest College",18,18,18,19,19,19,20,17,20,20,22,21,20,20
"University of Indianapolis",18,19,19,19,20,20,19,19,19,19,19,19,19,19
"Auburn University at Montgomery",18,19,19,19,19,19,19,18,21,18,18,18,18,18
